PAN_Inside:,PAN_Outside:,Ambient_Temp:,Glass_Temp:,Ind_Current:,Mag_Current:,empty_pan
115.82,98.94,556.88,125,87,0.35,1
101.63,96.75,33055.47,35,191,0.36,0
136.57,125.47,1311.32,82,1,0.37,1
42.59,41.77,117.33,17,1,0.35,1
166.7,136.32,1784.37,126,1,0.35,1
51.78,51.33,288.52,20,1,0.34,1
58.42,57.89,-43.41,22,1,0.34,1
252.54,185,36770.32,148,1,0.37,0
101.74,98.36,35803.39,41,191,0.36,0
129.35,121.63,1191.19,71,1,0.37,1
61.2,51.48,787.27,25,190,0.36,0
44.59,44.04,148.69,18,1,0.35,1
101.03,96.79,34229.94,37,190,0.38,0
59.26,58.54,438.72,22,1,0.35,1
47.24,46.92,218.04,18,1,0.35,1
156.02,133.3,1582.97,108,1,0.35,1
52.81,52.41,317.62,20,1,0.35,1
100.62,94.93,31809.82,32,191,0.38,0
45.53,45.05,192.44,18,1,0.34,1
101.33,96.24,32753.59,33,191,0.35,0
39.3,38.25,97.91,17,1,0.34,1
34.63,29.86,24.68,20,190,0.35,0
89.96,86.9,779.43,31,1,0.34,1
101.74,97.66,35590.86,38,191,0.35,0
102.07,99.25,37314.98,54,194,0.38,0
102.22,99.93,37096.48,53,196,0.38,0
101.96,98.13,36392.25,42,192,0.37,0
48.81,48.32,243.06,19,1,0.34,1
106.61,102.99,911.82,40,1,0.33,1
102.18,99.86,38420.45,52,195,0.37,0
51.26,50.84,284.8,20,1,0.34,1
44.82,44.16,173.05,18,1,0.35,1
47.27,46.62,206.34,18,1,0.35,1
101.96,99.82,37589.32,52,195,0.39,0
102.04,98.86,37096.48,47,194,0.38,0
53.57,53.17,342.48,20,1,0.34,1
62.75,52.5,947.26,25,190,0.35,0
47.9,47.4,219.54,19,1,0.35,1
101.96,98.86,50905.83,45,191,0.37,0
52.63,52.27,348.92,20,1,0.35,1
111.02,106.99,942.78,44,1,0.33,1
167.4,136.07,1595.87,138,1,0.35,1
52.92,52.56,288.52,20,1,0.35,1
45.86,45.28,187.1,18,1,0.34,1
102.04,99.4,39207.17,53,193,0.4,0
43.25,42.59,164.58,18,1,0.34,1
107.51,103.57,942.78,41,1,0.33,1
102.07,98.55,35379.17,46,192,0.39,0
45.42,44.86,191.09,18,1,0.35,1
59.45,54.78,176.79,79,87,0.34,1
42.77,41.96,159.9,17,1,0.35,1
97.7,94.36,835.53,35,1,0.35,1
42.19,41.39,157.6,17,1,0.35,1
164.67,135.94,1595.87,121,1,0.35,1
66.64,65.36,544.72,24,1,0.34,1
101.7,98.32,34958.33,42,192,0.38,0
47.53,45.35,113.86,53,87,0.36,1
102.04,98.94,37096.48,48,194,0.37,0
108.45,109.78,36987.54,62,192,0.39,0
96.44,92.99,819.22,34,1,0.35,1
59.4,58.68,486.82,22,1,0.35,1
45.35,44.75,181.89,18,1,0.35,1
61.71,60.92,464.98,23,1,0.35,1
101.1,96.36,33869.58,34,191,0.36,0
105.78,86.65,375.62,117,87,0.34,1
101.37,95.76,33920.91,34,191,0.38,0
101.59,98.55,36123.79,41,191,0.36,0
38.98,38.02,126.43,17,1,0.34,1
54.31,53.94,297.98,21,1,0.34,1
124.8,118.67,1129.03,63,1,0.37,1
41.3,40.4,128.32,17,1,0.36,1
113.11,95.8,486.82,123,86,0.35,1
102.04,99.55,37920.31,54,196,0.39,0
52.18,51.85,313.61,20,1,0.35,1
56.93,56.46,563.03,22,1,0.34,1
39.68,38.7,110.49,17,1,0.35,1
101.44,95.88,33715.92,34,191,0.37,0
112.95,108.79,947.26,46,1,0.37,1
116.11,99.59,559.95,125,86,0.34,1
67.94,66.42,569.24,25,1,0.34,1
41.91,41.1,141.26,17,1,0.34,1
102.18,98.59,37096.48,48,194,0.38,0
101.81,99.51,37041.98,49,194,0.38,0
122.62,117.12,1054.58,60,1,0.37,1
56.75,56.27,384.85,22,1,0.35,1
102.04,98.75,37314.98,48,194,0.39,0
272.65,187.97,36500,155,1,0.37,0
39.89,38.92,126.43,17,1,0.35,1
35.04,30.35,65.51,21,190,0.36,0
52.5,52.11,319.63,20,1,0.35,1
39.73,38.81,127.37,17,1,0.35,1
27.83,26.4,53.17,18,188,0.33,1
126.58,119.89,1098.82,67,1,0.37,1
117.83,113.2,983.67,52,1,0.37,1
42.5,41.68,162.22,17,1,0.35,1
57.66,57.07,426.01,22,1,0.34,1
48.98,48.52,62.15,19,1,0.34,1
42.14,41.39,144.41,17,1,0.35,1
47.43,46.92,157.6,19,1,0.35,1
101.89,99.4,39433.92,53,195,0.4,0
48.95,46.62,136.15,55,87,0.36,1
64.78,53.41,1233.94,26,190,0.34,0
147.04,125.11,1311.32,147,87,0.36,1
101.74,99.63,37975.66,53,195,0.38,0
59.82,59.21,464.98,23,1,0.35,1
44.44,37.01,79.15,22,190,0.36,0
103.36,101.81,37865.01,57,194,0.39,0
49.66,49.26,256.4,19,1,0.34,1
49.88,49.39,-17.62,19,1,0.33,1
25.18,24.12,68.03,19,189,0.37,0
42.05,41.3,113.01,17,1,0.34,1
66.99,58.9,225.63,90,87,0.35,1
173.26,145.55,32753.59,106,1,0.36,0
62.44,61.44,484.05,23,1,0.35,1
47.96,47.46,313.61,19,1,0.35,1
101.96,99.36,37314.98,52,195,0.37,0
50.19,49.77,218.04,19,1,0.33,1
101.67,97.5,34644.9,37,191,0.34,0
143.73,123.21,1233.94,145,86,0.36,1
90.86,87.65,771.64,32,1,0.34,1
67.94,66.42,550.78,25,1,0.34,1
49.64,49.2,247.99,19,1,0.34,1
58.07,49.28,532.76,25,190,0.35,0
101.78,98.16,47033.53,39,191,0.36,0
39.52,38.59,126.43,17,1,0.35,1
102.04,99.63,38086.54,53,195,0.37,0
101.74,99.82,37424.55,54,195,0.38,0
71.08,69.46,581.79,26,1,0.35,1
101.89,98.55,35909.98,39,191,0.38,0
102.04,98.9,36392.25,45,191,0.36,0
54.98,54.57,366.55,21,1,0.34,1
101.55,98.09,35803.39,39,191,0.36,0
38.87,37.78,107.21,17,1,0.34,1
27.12,25.37,67.01,20,189,0.34,0
92.58,78.48,18430.88,29,190,0.36,0
113.71,109.52,956.27,47,1,0.37,1
41.1,40.1,147.61,17,1,0.36,1
39.46,33.66,69.58,21,190,0.35,0
127.35,120.36,1118.9,68,1,0.37,1
102.18,99.48,37041.98,49,194,0.39,0
102.18,99.86,37096.48,53,196,0.39,0
101.85,99.63,38197.62,53,195,0.39,0
43.33,42.55,268.54,18,1,0.34,1
101.96,99.86,36987.54,54,195,0.38,0
89.13,70.12,14114.88,28,190,0.36,0
38.98,38.25,111.32,17,1,0.34,1
52.18,51.81,284.8,20,1,0.35,1
120.46,115.41,1025.8,57,1,0.37,1
59.77,59.14,436.16,23,1,0.35,1
101.18,95.09,33207.11,33,191,0.36,0
75.31,57.84,2971.58,27,190,0.35,0
80.33,77.92,637.42,28,1,0.36,1
45.71,45.16,195.16,18,1,0.34,1
43.54,42.95,164.58,18,1,0.34,1
41.86,41,148.69,17,1,0.34,1
102.04,99.36,37314.98,49,194,0.38,0
158.89,139.79,30261.8,102,1,0.36,0
54.07,53.61,336.13,21,1,0.34,1
101.96,99.97,37260.28,54,196,0.4,0
101.96,98.09,35697.02,42,192,0.37,0
38.81,37.9,112.16,17,1,0.34,1
89.88,71.26,14257.96,28,190,0.36,0
78.08,64.63,253.01,99,87,0.37,1
60.15,59.45,446.48,23,1,0.35,1
101.96,99.63,37644.36,53,196,0.38,0
39.46,38.59,124.56,17,1,0.34,1
94.85,91.36,803.13,33,1,0.35,1
41.1,40.2,141.26,17,1,0.36,1
54.31,51.36,175.54,69,87,0.35,1
49.88,49.39,176.79,19,1,0.33,1
42.14,41.34,136.15,17,1,0.35,1
101.78,98.59,35856.66,42,192,0.38,0
47.9,47.43,221.05,19,1,0.35,1
101.85,98.71,36338.45,44,192,0.38,0
118.67,113.93,974.47,54,1,0.37,1
46.92,46.38,219.54,18,1,0.35,1
102.18,99.32,36553.96,50,194,0.36,0
50.55,50.16,275.67,19,1,0.33,1
112.6,112.69,37479.43,65,192,0.39,0
41.2,39.68,86.71,46,174,0.37,1
42.05,41.2,157.6,17,1,0.34,1
39.62,38.7,129.28,17,1,0.35,1
101.96,99.63,37809.77,54,196,0.39,0
155.91,129.97,1563.74,146,1,0.36,1
45.89,38.64,96.44,22,190,0.37,0
102.04,99.63,37865.01,54,195,0.36,0
100.99,95.8,33613.74,33,191,0.36,0
110.66,106.58,911.82,44,1,0.33,1
129.35,114.21,911.82,137,87,0.36,1
65.08,64.01,588.15,24,1,0.35,1
55.15,54.74,364.31,21,1,0.35,1
130.31,114.59,890.15,137,87,0.36,1
43.25,42.55,206.34,18,1,0.34,1
45.5,44.9,104.02,18,1,0.34,1
51.28,50.89,281.12,20,1,0.34,1
41.68,40.66,144.41,17,1,0.34,1
37.9,36.58,113.86,17,1,0.35,1
47.05,46.58,215.07,18,1,0.35,1
46.28,45.64,115.58,18,1,0.34,1
85.74,82.86,965.34,30,1,0.34,1
93.64,90.37,803.13,33,1,0.34,1
37.9,36.58,114.72,17,1,0.35,1
90.45,87.15,763.91,32,1,0.34,1
100.65,96.91,827.34,36,1,0.35,1
55.46,55.02,371.06,21,1,0.35,1
91.36,87.89,771.64,32,1,0.34,1
100.16,93.64,32304.24,31,191,0.35,0
101.67,97.31,33818.3,37,191,0.35,0
133.92,123.95,1316.97,78,1,0.37,1
54.94,54.52,-31.82,21,1,0.34,1
